match_id,match_date,player_id,model_prob,pinnacle_odds,pinnacle_implied,edge,kelly_stake,bet,actual_won,pnl,surface_name,tier_name
24597,2024-01-01,14,0.7101,2.03,0.4926,0.2175,0.10558252427184468,True,1,0.10875,Hard,ATP 500
24597,2024-01-01,475,0.2899,1.88,0.5319,-0.242,0.0,False,0,0.0,Hard,ATP 500
24598,2024-01-01,475,0.5721,1.63,0.6135,-0.0414,0.0,False,1,0.0,Hard,ATP 500
24598,2024-01-01,555,0.4279,2.43,0.4115,0.0164,0.0,False,0,0.0,Hard,ATP 500
24599,2024-01-01,14,0.8436,1.26,0.7937,0.0499,0.0,False,1,0.0,Hard,ATP 500
24599,2024-01-01,289,0.1564,4.34,0.2304,-0.074,0.0,False,0,0.0,Hard,ATP 500
24600,2024-01-01,475,0.8164,1.18,0.8475,-0.0311,0.0,False,1,0.0,Hard,ATP 500
24600,2024-01-01,3,0.1836,5.7,0.1754,0.0082,0.0,False,0,0.0,Hard,ATP 500
24601,2024-01-01,555,0.5225,1.42,0.7042,-0.1817,0.0,False,1,0.0,Hard,ATP 500
24601,2024-01-01,692,0.4775,3.13,0.3195,0.158,0.0,False,0,0.0,Hard,ATP 500
24602,2024-01-01,289,0.4855,6.62,0.1511,0.3344,0.0,False,1,0.0,Hard,ATP 500
24602,2024-01-01,84,0.5145,1.18,0.8475,-0.333,0.0,False,0,0.0,Hard,ATP 500
24603,2024-01-01,14,0.8535,1.13,0.885,-0.0315,0.0,False,1,0.0,Hard,ATP 500
24603,2024-01-01,645,0.1465,7.11,0.1406,0.0059,0.0,False,0,0.0,Hard,ATP 500
24604,2024-01-01,475,0.6809,1.33,0.7519,-0.071,0.0,False,1,0.0,Hard,ATP 500
24604,2024-01-01,693,0.3191,3.68,0.2717,0.0474,0.0,False,0,0.0,Hard,ATP 500
24605,2024-01-01,3,0.3216,1.93,0.5181,-0.1965,0.0,False,1,0.0,Hard,ATP 500
24605,2024-01-01,420,0.6784,1.98,0.5051,0.1733,0.08841836734693878,True,0,-0.08841836734693878,Hard,ATP 500
24606,2024-01-01,555,0.633,1.53,0.6536,-0.0206,0.0,False,1,0.0,Hard,ATP 500
24606,2024-01-01,504,0.367,2.68,0.3731,-0.0061,0.0,False,0,0.0,Hard,ATP 500
