match_id,player_id,elo_overall_before,elo_surface_before,surface,match_date,result
1,1,1500.0,1500.0,Hard,2015-01-04,win
1,824,1500.0,1500.0,Hard,2015-01-04,loss
2,2,1500.0,1500.0,Hard,2015-01-04,win
2,115,1500.0,1500.0,Hard,2015-01-04,loss
3,3,1500.0,1500.0,Hard,2015-01-04,win
3,77,1500.0,1500.0,Hard,2015-01-04,loss
4,4,1500.0,1500.0,Hard,2015-01-04,win
4,131,1500.0,1500.0,Hard,2015-01-04,loss
5,5,1500.0,1500.0,Hard,2015-01-04,win
5,79,1500.0,1500.0,Hard,2015-01-04,loss
6,6,1500.0,1500.0,Hard,2015-01-04,win
6,118,1500.0,1500.0,Hard,2015-01-04,loss
7,7,1500.0,1500.0,Hard,2015-01-04,win
7,64,1500.0,1500.0,Hard,2015-01-04,loss
8,8,1500.0,1500.0,Hard,2015-01-04,win
8,71,1500.0,1500.0,Hard,2015-01-04,loss
9,9,1500.0,1500.0,Hard,2015-01-04,win
9,72,1500.0,1500.0,Hard,2015-01-04,loss
10,10,1500.0,1500.0,Hard,2015-01-04,win
10,55,1500.0,1500.0,Hard,2015-01-04,loss
11,11,1500.0,1500.0,Hard,2015-01-04,win
11,114,1500.0,1500.0,Hard,2015-01-04,loss
12,12,1500.0,1500.0,Hard,2015-01-04,win
12,86,1500.0,1500.0,Hard,2015-01-04,loss
13,13,1500.0,1500.0,Hard,2015-01-04,win
13,1,1520.0,1520.0,Hard,2015-01-04,loss
14,3,1520.0,1520.0,Hard,2015-01-04,win
14,2,1520.0,1520.0,Hard,2015-01-04,loss
15,14,1500.0,1500.0,Hard,2015-01-04,win
15,4,1520.0,1520.0,Hard,2015-01-04,loss
16,5,1520.0,1520.0,Hard,2015-01-04,win
16,6,1520.0,1520.0,Hard,2015-01-04,loss
17,8,1520.0,1520.0,Hard,2015-01-04,win
17,7,1520.0,1520.0,Hard,2015-01-04,loss
18,15,1500.0,1500.0,Hard,2015-01-04,win
18,9,1520.0,1520.0,Hard,2015-01-04,loss
19,11,1520.0,1520.0,Hard,2015-01-04,win
19,10,1520.0,1520.0,Hard,2015-01-04,loss
20,16,1500.0,1500.0,Hard,2015-01-04,win
20,12,1520.0,1520.0,Hard,2015-01-04,loss
21,13,1521.15,1521.15,Hard,2015-01-04,win
21,3,1540.0,1540.0,Hard,2015-01-04,loss
22,14,1521.15,1521.15,Hard,2015-01-04,win
22,5,1540.0,1540.0,Hard,2015-01-04,loss
23,15,1521.15,1521.15,Hard,2015-01-04,win
23,8,1540.0,1540.0,Hard,2015-01-04,loss
24,16,1521.15,1521.15,Hard,2015-01-04,win
24,11,1540.0,1540.0,Hard,2015-01-04,loss
25,13,1542.23,1542.23,Hard,2015-01-04,win
25,14,1542.23,1542.23,Hard,2015-01-04,loss
26,15,1542.23,1542.23,Hard,2015-01-04,win
26,16,1542.23,1542.23,Hard,2015-01-04,loss
27,13,1562.23,1562.23,Hard,2015-01-04,win
27,15,1562.23,1562.23,Hard,2015-01-04,loss
28,17,1500.0,1500.0,Hard,2015-01-05,win
28,191,1500.0,1500.0,Hard,2015-01-05,loss
29,18,1500.0,1500.0,Hard,2015-01-05,win
29,110,1500.0,1500.0,Hard,2015-01-05,loss
30,19,1500.0,1500.0,Hard,2015-01-05,win
30,90,1500.0,1500.0,Hard,2015-01-05,loss
31,20,1500.0,1500.0,Hard,2015-01-05,win
31,121,1500.0,1500.0,Hard,2015-01-05,loss
32,21,1500.0,1500.0,Hard,2015-01-05,win
32,825,1500.0,1500.0,Hard,2015-01-05,loss
33,22,1500.0,1500.0,Hard,2015-01-05,win
33,76,1500.0,1500.0,Hard,2015-01-05,loss
34,23,1500.0,1500.0,Hard,2015-01-05,win
34,231,1500.0,1500.0,Hard,2015-01-05,loss
35,24,1500.0,1500.0,Hard,2015-01-05,win
35,75,1500.0,1500.0,Hard,2015-01-05,loss
36,25,1500.0,1500.0,Hard,2015-01-05,win
36,59,1500.0,1500.0,Hard,2015-01-05,loss
37,26,1500.0,1500.0,Hard,2015-01-05,win
37,233,1500.0,1500.0,Hard,2015-01-05,loss
38,27,1500.0,1500.0,Hard,2015-01-05,win
38,284,1500.0,1500.0,Hard,2015-01-05,loss
39,28,1500.0,1500.0,Hard,2015-01-05,win
39,89,1500.0,1500.0,Hard,2015-01-05,loss
40,29,1500.0,1500.0,Hard,2015-01-05,win
40,17,1520.0,1520.0,Hard,2015-01-05,loss
41,19,1520.0,1520.0,Hard,2015-01-05,win
41,18,1520.0,1520.0,Hard,2015-01-05,loss
42,30,1500.0,1500.0,Hard,2015-01-05,win
42,20,1520.0,1520.0,Hard,2015-01-05,loss
43,22,1520.0,1520.0,Hard,2015-01-05,win
43,21,1520.0,1520.0,Hard,2015-01-05,loss
44,23,1520.0,1520.0,Hard,2015-01-05,win
44,24,1520.0,1520.0,Hard,2015-01-05,loss
45,31,1500.0,1500.0,Hard,2015-01-05,win
45,25,1520.0,1520.0,Hard,2015-01-05,loss
46,26,1520.0,1520.0,Hard,2015-01-05,win
46,27,1520.0,1520.0,Hard,2015-01-05,loss
47,28,1520.0,1520.0,Hard,2015-01-05,win
47,68,1500.0,1500.0,Hard,2015-01-05,loss
48,29,1521.15,1521.15,Hard,2015-01-05,win
48,19,1540.0,1540.0,Hard,2015-01-05,loss
49,30,1521.15,1521.15,Hard,2015-01-05,win
49,22,1540.0,1540.0,Hard,2015-01-05,loss
50,31,1521.15,1521.15,Hard,2015-01-05,win
50,23,1540.0,1540.0,Hard,2015-01-05,loss
51,28,1538.85,1538.85,Hard,2015-01-05,win
51,26,1540.0,1540.0,Hard,2015-01-05,loss
52,29,1542.23,1542.23,Hard,2015-01-05,win
52,30,1542.23,1542.23,Hard,2015-01-05,loss
53,28,1558.92,1558.92,Hard,2015-01-05,win
53,31,1542.23,1542.23,Hard,2015-01-05,loss
54,29,1562.23,1562.23,Hard,2015-01-05,win
54,28,1577.96,1577.96,Hard,2015-01-05,loss
55,32,1500.0,1500.0,Hard,2015-01-05,win
55,99,1500.0,1500.0,Hard,2015-01-05,loss
56,33,1500.0,1500.0,Hard,2015-01-05,win
56,826,1500.0,1500.0,Hard,2015-01-05,loss
57,34,1500.0,1500.0,Hard,2015-01-05,win
57,107,1500.0,1500.0,Hard,2015-01-05,loss
58,35,1500.0,1500.0,Hard,2015-01-05,win
58,81,1500.0,1500.0,Hard,2015-01-05,loss
59,36,1500.0,1500.0,Hard,2015-01-05,win
59,117,1500.0,1500.0,Hard,2015-01-05,loss
60,37,1500.0,1500.0,Hard,2015-01-05,win
60,196,1500.0,1500.0,Hard,2015-01-05,loss
61,38,1500.0,1500.0,Hard,2015-01-05,win
61,74,1500.0,1500.0,Hard,2015-01-05,loss
62,39,1500.0,1500.0,Hard,2015-01-05,win
62,80,1500.0,1500.0,Hard,2015-01-05,loss
63,40,1500.0,1500.0,Hard,2015-01-05,win
63,54,1500.0,1500.0,Hard,2015-01-05,loss
64,41,1500.0,1500.0,Hard,2015-01-05,win
64,70,1500.0,1500.0,Hard,2015-01-05,loss
65,42,1500.0,1500.0,Hard,2015-01-05,win
65,128,1500.0,1500.0,Hard,2015-01-05,loss
66,43,1500.0,1500.0,Hard,2015-01-05,win
66,94,1500.0,1500.0,Hard,2015-01-05,loss
67,44,1500.0,1500.0,Hard,2015-01-05,win
67,52,1500.0,1500.0,Hard,2015-01-05,loss
68,45,1500.0,1500.0,Hard,2015-01-05,win
68,91,1500.0,1500.0,Hard,2015-01-05,loss
69,46,1500.0,1500.0,Hard,2015-01-05,win
69,423,1500.0,1500.0,Hard,2015-01-05,loss
70,47,1500.0,1500.0,Hard,2015-01-05,win
70,84,1500.0,1500.0,Hard,2015-01-05,loss
71,32,1520.0,1520.0,Hard,2015-01-05,win
71,33,1520.0,1520.0,Hard,2015-01-05,loss
72,35,1520.0,1520.0,Hard,2015-01-05,win
72,34,1520.0,1520.0,Hard,2015-01-05,loss
73,36,1520.0,1520.0,Hard,2015-01-05,win
73,37,1520.0,1520.0,Hard,2015-01-05,loss
74,38,1520.0,1520.0,Hard,2015-01-05,win
74,39,1520.0,1520.0,Hard,2015-01-05,loss
75,40,1520.0,1520.0,Hard,2015-01-05,win
75,41,1520.0,1520.0,Hard,2015-01-05,loss
76,43,1520.0,1520.0,Hard,2015-01-05,win
76,42,1520.0,1520.0,Hard,2015-01-05,loss
77,44,1520.0,1520.0,Hard,2015-01-05,win
77,45,1520.0,1520.0,Hard,2015-01-05,loss
78,46,1520.0,1520.0,Hard,2015-01-05,win
78,47,1520.0,1520.0,Hard,2015-01-05,loss
79,35,1540.0,1540.0,Hard,2015-01-05,win
79,32,1540.0,1540.0,Hard,2015-01-05,loss
80,36,1540.0,1540.0,Hard,2015-01-05,win
80,38,1540.0,1540.0,Hard,2015-01-05,loss
81,43,1540.0,1540.0,Hard,2015-01-05,win
81,40,1540.0,1540.0,Hard,2015-01-05,loss
82,44,1540.0,1540.0,Hard,2015-01-05,win
82,46,1540.0,1540.0,Hard,2015-01-05,loss
83,36,1560.0,1560.0,Hard,2015-01-05,win
83,35,1560.0,1560.0,Hard,2015-01-05,loss
84,43,1560.0,1560.0,Hard,2015-01-05,win
84,44,1560.0,1560.0,Hard,2015-01-05,loss
85,36,1580.0,1580.0,Hard,2015-01-05,win
85,43,1580.0,1580.0,Hard,2015-01-05,loss
86,48,1500.0,1500.0,Hard,2015-01-11,win
86,33,1500.0,1500.0,Hard,2015-01-11,loss
87,9,1498.85,1498.85,Hard,2015-01-11,win
87,94,1480.0,1480.0,Hard,2015-01-11,loss
88,49,1500.0,1500.0,Hard,2015-01-11,win
88,120,1500.0,1500.0,Hard,2015-01-11,loss
89,50,1500.0,1500.0,Hard,2015-01-11,win
89,44,1540.0,1540.0,Hard,2015-01-11,loss
90,51,1500.0,1500.0,Hard,2015-01-11,win
90,92,1500.0,1500.0,Hard,2015-01-11,loss
91,52,1480.0,1480.0,Hard,2015-01-11,win
91,70,1480.0,1480.0,Hard,2015-01-11,loss
92,4,1498.85,1498.85,Hard,2015-01-11,win
92,114,1480.0,1480.0,Hard,2015-01-11,loss
93,19,1518.92,1518.92,Hard,2015-01-11,win
93,8,1518.92,1518.92,Hard,2015-01-11,loss
94,11,1518.92,1518.92,Hard,2015-01-11,win
94,110,1480.0,1480.0,Hard,2015-01-11,loss
95,53,1500.0,1500.0,Hard,2015-01-11,win
95,5,1518.92,1518.92,Hard,2015-01-11,loss
96,54,1480.0,1480.0,Hard,2015-01-11,win
96,2,1500.0,1500.0,Hard,2015-01-11,loss
97,41,1500.0,1500.0,Hard,2015-01-11,win
97,86,1480.0,1480.0,Hard,2015-01-11,loss
98,48,1520.0,1520.0,Hard,2015-01-11,win
98,122,1500.0,1500.0,Hard,2015-01-11,loss
99,9,1517.77,1517.77,Hard,2015-01-11,win
99,49,1520.0,1520.0,Hard,2015-01-11,loss
100,55,1480.0,1480.0,Hard,2015-01-11,win
100,50,1522.29,1522.29,Hard,2015-01-11,loss
101,52,1500.0,1500.0,Hard,2015-01-11,win
101,51,1520.0,1520.0,Hard,2015-01-11,loss
102,19,1538.92,1538.92,Hard,2015-01-11,win
102,4,1517.77,1517.77,Hard,2015-01-11,loss
103,11,1536.69,1536.69,Hard,2015-01-11,win
103,80,1480.0,1480.0,Hard,2015-01-11,loss
104,53,1521.09,1521.09,Hard,2015-01-11,win
104,54,1501.15,1501.15,Hard,2015-01-11,loss
