match_id,match_date,winner_id,loser_id,court_speed_index,round_numeric,best_of,tier_numeric,surface_Hard,surface_Clay,surface_Grass,tier_Grand_Slam,tier_Masters_1000,tier_ATP_500,tier_ATP_250,tier_Challenger,d_elo_overall,d_elo_surface,d_atp_rank,d_surface_win_rate,d_recent_form_10,d_serve_rating,d_return_rating,serve_vs_return,d_ace_rate,d_bp_save_rate,d_days_rest,d_matches_last_14d,p1_matches_14d,p2_matches_14d,h2h_overall,h2h_surface,h2h_surface_3y,h2h_last5_weighted,elo_mkt_gap,d_serve_style_csi,p1_fatigue_games_7d,p2_fatigue_games_7d,d_fatigue_games_7d,p1_surface_transition,p2_surface_transition,d_surface_transition,serve_hold_matchup,p1_form_regression,p2_form_regression,tournament_proximity,total_games,game_diff,p1_is_winner,winner_won
1,2015-01-04,1,824,42.0,3,3,2,1,0,0,0,0,1,0,0,0.0,0.0,,,,,,,,,0,0,0,0,0.5,0.5,0.5,0.5,,,0,0,0,52.0,52.0,0.0,,0.0,0.0,0,16,8.0,1,1
1,2015-01-04,1,824,42.0,3,3,2,1,0,0,0,0,1,0,0,-0.0,-0.0,,,,,,,,,0,0,0,0,0.5,0.5,0.5,0.5,,,0,0,0,52.0,52.0,-0.0,,0.0,0.0,0,16,8.0,0,0
27,2015-01-04,13,15,42.0,3,3,2,1,0,0,0,0,1,0,0,0.0,0.0,,,,,,,,,0,0,0,0,0.5,0.5,0.5,0.5,,,0,0,0,52.0,52.0,0.0,,0.0,0.0,0,33,3.0,1,1
27,2015-01-04,13,15,42.0,3,3,2,1,0,0,0,0,1,0,0,-0.0,-0.0,,,,,,,,,0,0,0,0,0.5,0.5,0.5,0.5,,,0,0,0,52.0,52.0,-0.0,,0.0,0.0,0,33,3.0,0,0
26,2015-01-04,15,16,42.0,3,3,2,1,0,0,0,0,1,0,0,0.0,0.0,,,,,,,,,-14,1,1,0,0.5,0.5,0.5,0.5,,,33,0,33,0.0,52.0,-52.0,,0.4712494361077314,0.0,0,39,1.0,1,1
26,2015-01-04,15,16,42.0,3,3,2,1,0,0,0,0,1,0,0,-0.0,-0.0,,,,,,,,,14,-1,0,1,0.5,0.5,0.5,0.5,,,0,33,-33,52.0,0.0,52.0,,0.0,0.4712494361077314,0,39,1.0,0,0
25,2015-01-04,13,14,42.0,3,3,2,1,0,0,0,0,1,0,0,0.0,0.0,,,,,,,,,-14,1,1,0,0.5,0.5,0.5,0.5,,,33,0,33,0.0,52.0,-52.0,,-0.5287505638922686,0.0,0,16,8.0,1,1
25,2015-01-04,13,14,42.0,3,3,2,1,0,0,0,0,1,0,0,-0.0,-0.0,,,,,,,,,14,-1,0,1,0.5,0.5,0.5,0.5,,,0,33,-33,52.0,0.0,52.0,,0.0,-0.5287505638922686,0,16,8.0,0,0
24,2015-01-04,16,11,42.0,3,3,2,1,0,0,0,0,1,0,0,-18.84999999999991,-18.84999999999991,,,,,,,,,-14,1,1,0,0.5,0.5,0.5,0.5,,,39,0,39,0.0,52.0,-52.0,,0.4697006119219026,0.0,0,16,8.0,1,1
24,2015-01-04,16,11,42.0,3,3,2,1,0,0,0,0,1,0,0,18.84999999999991,18.84999999999991,,,,,,,,,14,-1,0,1,0.5,0.5,0.5,0.5,,,0,39,-39,52.0,0.0,52.0,,0.0,0.4697006119219026,0,16,8.0,0,0
23,2015-01-04,15,8,42.0,3,3,2,1,0,0,0,0,1,0,0,-18.84999999999991,-18.84999999999991,,,,,,,,,-14,2,2,0,0.5,0.5,0.5,0.5,,,72,0,72,0.0,52.0,-52.0,,-0.044608788278899636,0.0,0,35,-1.0,1,1
