surfaces,tiers,odds_min,odds_max,edge_thresh,staking,bets,win_rate,roi,clv,sharpe,total_pnl,total_staked
Grass+Hard,ATP 250+Masters 1000,2.25,3.75,0.06,flat,51,0.5294,40.02,12.813,2.113,20.41,51.0
Grass+Hard,Masters 1000,2.25,3.75,0.06,flat,51,0.5294,40.02,12.813,2.113,20.41,51.0
Hard,Masters 1000,2.25,3.75,0.06,flat,51,0.5294,40.02,12.813,2.113,20.41,51.0
Hard,ATP 250+Masters 1000,2.25,3.75,0.06,flat,51,0.5294,40.02,12.813,2.113,20.41,51.0
Hard,ATP 250+Masters 1000,2.25,3.75,0.05,flat,57,0.5088,36.21,12.048,1.993,20.64,57.0
Hard,Masters 1000,2.25,3.75,0.05,flat,57,0.5088,36.21,12.048,1.993,20.64,57.0
Grass+Hard,Masters 1000,2.25,3.75,0.05,flat,57,0.5088,36.21,12.048,1.993,20.64,57.0
Grass+Hard,ATP 250+Masters 1000,2.25,3.75,0.05,flat,57,0.5088,36.21,12.048,1.993,20.64,57.0
Grass+Hard,Masters 1000,2.25,4.0,0.06,flat,53,0.5094,34.74,12.66,1.868,18.41,53.0
Grass+Hard,ATP 250+Masters 1000,2.25,4.0,0.06,flat,53,0.5094,34.74,12.66,1.868,18.41,53.0
Hard,ATP 250+Masters 1000,2.25,4.0,0.06,flat,53,0.5094,34.74,12.66,1.868,18.41,53.0
Hard,Masters 1000,2.25,4.0,0.06,flat,53,0.5094,34.74,12.66,1.868,18.41,53.0
Grass+Hard,Masters 1000,2.25,3.5,0.05,flat,55,0.5091,34.71,11.934,1.903,19.09,55.0
Hard,ATP 250+Masters 1000,2.25,3.5,0.05,flat,55,0.5091,34.71,11.934,1.903,19.09,55.0
Grass+Hard,ATP 250+Masters 1000,2.25,3.5,0.05,flat,55,0.5091,34.71,11.934,1.903,19.09,55.0
Hard,Masters 1000,2.25,3.5,0.05,flat,55,0.5091,34.71,11.934,1.903,19.09,55.0
Grass+Hard,ATP 250+Masters 1000,2.25,3.75,0.06,quarter-Kelly,51,0.5294,33.92,12.813,2.113,0.338,0.996
Grass+Hard,Masters 1000,2.25,3.75,0.06,half-Kelly,51,0.5294,33.92,12.813,2.113,0.676,1.992
Grass+Hard,Masters 1000,2.25,3.75,0.06,quarter-Kelly,51,0.5294,33.92,12.813,2.113,0.338,0.996
Hard,ATP 250+Masters 1000,2.25,3.75,0.06,half-Kelly,51,0.5294,33.92,12.813,2.113,0.676,1.992
Hard,Masters 1000,2.25,3.75,0.06,half-Kelly,51,0.5294,33.92,12.813,2.113,0.676,1.992
Hard,ATP 250+Masters 1000,2.25,3.75,0.06,quarter-Kelly,51,0.5294,33.92,12.813,2.113,0.338,0.996
Hard,Masters 1000,2.25,3.75,0.06,quarter-Kelly,51,0.5294,33.92,12.813,2.113,0.338,0.996
Grass+Hard,ATP 250+Masters 1000,2.25,3.75,0.06,half-Kelly,51,0.5294,33.92,12.813,2.113,0.676,1.992
Clay+Grass+Hard,Grand Slam+Masters 1000,2.25,2.5,0.03,flat,53,0.566,33.68,10.007,2.092,17.85,53.0
Clay+Grass+Hard,ATP 250+Grand Slam+Masters 1000,2.25,2.5,0.03,flat,53,0.566,33.68,10.007,2.092,17.85,53.0
Grass+Hard,Masters 1000,2.25,3.0,0.03,quarter-Kelly,50,0.52,32.57,10.356,1.612,0.287,0.88
Hard,Masters 1000,2.25,3.0,0.03,quarter-Kelly,50,0.52,32.57,10.356,1.612,0.287,0.88
Hard,Masters 1000,2.25,3.0,0.03,half-Kelly,50,0.52,32.57,10.356,1.612,0.573,1.76
Hard,ATP 250+Masters 1000,2.25,3.0,0.03,quarter-Kelly,50,0.52,32.57,10.356,1.612,0.287,0.88
Hard,ATP 250+Masters 1000,2.25,3.0,0.03,half-Kelly,50,0.52,32.57,10.356,1.612,0.573,1.76
Grass+Hard,Masters 1000,2.25,3.0,0.03,half-Kelly,50,0.52,32.57,10.356,1.612,0.573,1.76
Grass+Hard,ATP 250+Masters 1000,2.25,3.0,0.03,half-Kelly,50,0.52,32.57,10.356,1.612,0.573,1.76
Grass+Hard,ATP 250+Masters 1000,2.25,3.0,0.03,quarter-Kelly,50,0.52,32.57,10.356,1.612,0.287,0.88
Hard,Masters 1000,2.25,3.75,0.05,quarter-Kelly,57,0.5088,32.15,12.048,1.993,0.335,1.042
Hard,Masters 1000,2.25,3.75,0.05,half-Kelly,57,0.5088,32.15,12.048,1.993,0.67,2.083
Grass+Hard,Masters 1000,2.25,3.75,0.05,half-Kelly,57,0.5088,32.15,12.048,1.993,0.67,2.083
Grass+Hard,Masters 1000,2.25,3.75,0.05,quarter-Kelly,57,0.5088,32.15,12.048,1.993,0.335,1.042
Grass+Hard,ATP 250+Masters 1000,2.25,3.75,0.05,quarter-Kelly,57,0.5088,32.15,12.048,1.993,0.335,1.042
Hard,ATP 250+Masters 1000,2.25,3.75,0.05,half-Kelly,57,0.5088,32.15,12.048,1.993,0.67,2.083
Hard,ATP 250+Masters 1000,2.25,3.75,0.05,quarter-Kelly,57,0.5088,32.15,12.048,1.993,0.335,1.042
Grass+Hard,ATP 250+Masters 1000,2.25,3.75,0.05,half-Kelly,57,0.5088,32.15,12.048,1.993,0.67,2.083
Hard,ATP 500+Masters 1000,2.25,2.75,0.07,half-Kelly,76,0.5263,32.07,13.66,2.105,1.149,3.585
Hard,ATP 500+Masters 1000,2.25,2.75,0.07,quarter-Kelly,76,0.5263,32.07,13.66,2.105,0.575,1.792
Hard,ATP 250+ATP 500+Masters 1000,2.25,2.75,0.07,quarter-Kelly,76,0.5263,32.07,13.66,2.105,0.575,1.792
Hard,ATP 250+ATP 500+Masters 1000,2.25,2.75,0.07,half-Kelly,76,0.5263,32.07,13.66,2.105,1.149,3.585
Grass+Hard,Masters 1000,2.25,4.0,0.06,half-Kelly,53,0.5094,31.89,12.66,1.868,0.645,2.023
Grass+Hard,Masters 1000,2.25,4.0,0.06,quarter-Kelly,53,0.5094,31.89,12.66,1.868,0.323,1.011
Hard,Masters 1000,2.25,4.0,0.06,quarter-Kelly,53,0.5094,31.89,12.66,1.868,0.323,1.011
Hard,Masters 1000,2.25,4.0,0.06,half-Kelly,53,0.5094,31.89,12.66,1.868,0.645,2.023
Hard,ATP 250+Masters 1000,2.25,4.0,0.06,half-Kelly,53,0.5094,31.89,12.66,1.868,0.645,2.023
Hard,ATP 250+Masters 1000,2.25,4.0,0.06,quarter-Kelly,53,0.5094,31.89,12.66,1.868,0.323,1.011
Grass+Hard,ATP 250+Masters 1000,2.25,4.0,0.06,half-Kelly,53,0.5094,31.89,12.66,1.868,0.645,2.023
Grass+Hard,ATP 250+Masters 1000,2.25,4.0,0.06,quarter-Kelly,53,0.5094,31.89,12.66,1.868,0.323,1.011
Hard,Masters 1000,2.25,4.0,0.05,flat,59,0.4915,31.59,11.936,1.771,18.64,59.0
Grass+Hard,Masters 1000,2.25,4.0,0.05,flat,59,0.4915,31.59,11.936,1.771,18.64,59.0
Grass+Hard,ATP 250+Masters 1000,2.25,4.0,0.05,flat,59,0.4915,31.59,11.936,1.771,18.64,59.0
Hard,ATP 250+Masters 1000,2.25,4.0,0.05,flat,59,0.4915,31.59,11.936,1.771,18.64,59.0
Hard,ATP 500+Masters 1000,2.25,2.5,0.06,quarter-Kelly,50,0.52,31.5,13.269,1.374,0.385,1.223
Hard,ATP 500+Masters 1000,2.25,2.5,0.06,half-Kelly,50,0.52,31.5,13.269,1.374,0.771,2.446
Hard,ATP 250+ATP 500+Masters 1000,2.25,2.5,0.06,half-Kelly,50,0.52,31.5,13.269,1.374,0.771,2.446
Hard,ATP 250+ATP 500+Masters 1000,2.25,2.5,0.06,quarter-Kelly,50,0.52,31.5,13.269,1.374,0.385,1.223
Grass+Hard,ATP 250+Masters 1000,2.25,3.5,0.05,quarter-Kelly,55,0.5091,31.47,11.934,1.903,0.319,1.013
Grass+Hard,ATP 250+Masters 1000,2.25,3.5,0.05,half-Kelly,55,0.5091,31.47,11.934,1.903,0.637,2.025
Hard,Masters 1000,2.25,3.5,0.05,half-Kelly,55,0.5091,31.47,11.934,1.903,0.637,2.025
Hard,Masters 1000,2.25,3.5,0.05,quarter-Kelly,55,0.5091,31.47,11.934,1.903,0.319,1.013
Hard,ATP 250+Masters 1000,2.25,3.5,0.05,half-Kelly,55,0.5091,31.47,11.934,1.903,0.637,2.025
Grass+Hard,Masters 1000,2.25,3.5,0.05,half-Kelly,55,0.5091,31.47,11.934,1.903,0.637,2.025
Hard,ATP 250+Masters 1000,2.25,3.5,0.05,quarter-Kelly,55,0.5091,31.47,11.934,1.903,0.319,1.013
