orig_rank,surfaces,tiers,odds_min,odds_max,edge_thresh,staking,opt_roi_2024,n_2022,n_2023,n_2024,roi_2022,roi_2023,roi_2024,wr_2022,wr_2023,wr_2024,positive_years,avg_roi
5,Hard,ATP 250+Masters 1000,2.25,3.75,0.05,flat,36.21,45,43,59,2.11,-33.19,31.59,35.6,25.6,49.2,2,0.17
6,Hard,Masters 1000,2.25,3.75,0.05,flat,36.21,45,43,59,2.11,-33.19,31.59,35.6,25.6,49.2,2,0.17
7,Grass+Hard,Masters 1000,2.25,3.75,0.05,flat,36.21,45,43,59,2.11,-33.19,31.59,35.6,25.6,49.2,2,0.17
8,Grass+Hard,ATP 250+Masters 1000,2.25,3.75,0.05,flat,36.21,45,43,59,2.11,-33.19,31.59,35.6,25.6,49.2,2,0.17
1,Grass+Hard,ATP 250+Masters 1000,2.25,3.75,0.06,flat,40.02,39,38,52,-6.31,-31.32,30.06,33.3,26.3,50.0,1,-2.52
2,Grass+Hard,Masters 1000,2.25,3.75,0.06,flat,40.02,39,38,52,-6.31,-31.32,30.06,33.3,26.3,50.0,1,-2.52
3,Hard,Masters 1000,2.25,3.75,0.06,flat,40.02,39,38,52,-6.31,-31.32,30.06,33.3,26.3,50.0,1,-2.52
4,Hard,ATP 250+Masters 1000,2.25,3.75,0.06,flat,40.02,39,38,52,-6.31,-31.32,30.06,33.3,26.3,50.0,1,-2.52
9,Grass+Hard,Masters 1000,2.25,4.0,0.06,flat,34.74,42,40,54,-3.52,-34.75,25.24,33.3,25.0,48.1,1,-4.34
10,Grass+Hard,ATP 250+Masters 1000,2.25,4.0,0.06,flat,34.74,42,40,54,-3.52,-34.75,25.24,33.3,25.0,48.1,1,-4.34
